assay,method,mixing_score,purity_score,reduction,ndim,features_ngenes
RNA,harmony,84.18,54.51,harmony_14_Batch_ID_5_0.1_130_PCA..RNA..80..RNA.log.vst.split_Batch_ID.features.3000_9625657cf22d373e46bdde89031e6f00,80,3000
RNA,harmony,87.39,71.2825,harmony_14_Batch_ID_5_0.1_130_PCA..RNA..80..RNA.log.vst.split_Batch_ID.features.500_9625657cf22d373e46bdde89031e6f00,80,500
RNA,harmony,84.725,74.95,harmony_14_Batch_ID_5_0.1_130_PCA..RNA..80..RNA.log.vst.split_Batch_ID.features.750_9625657cf22d373e46bdde89031e6f00,80,750
scVI,scVI,43.995,89.575,scVI_0_5_0.1_2_128..scVI..90..features_RNA.log.vst.split_Batch_ID.features.1000_c699f83acf5f343b82f9eca189927e32,90,1000
scVI,scVI,49.625,88.425,scVI_0_5_0.1_2_128..scVI..90..features_RNA.log.vst.split_Batch_ID.features.750_c699f83acf5f343b82f9eca189927e32,90,750
scVI,scVI,42.64,90.9125,scVI_1_5_0.1_2_256..scVI..90..features_RNA.log.vst.split_Batch_ID.features.1000_c699f83acf5f343b82f9eca189927e32,90,1000
scVI,scVI,46.245,82.1775,scVI_1_5_0.1_2_256..scVI..90..features_RNA.log.vst.split_Batch_ID.features.750_c699f83acf5f343b82f9eca189927e32,90,750
scVI,scVI,59.635,88.0125,scVI_12_20_0.1_2_128..scVI..90..features_RNA.log.vst.split_Batch_ID.features.1000_c699f83acf5f343b82f9eca189927e32,90,1000
scVI,scVI,62.005,89.6775,scVI_12_20_0.1_2_128..scVI..90..features_RNA.log.vst.split_Batch_ID.features.750_c699f83acf5f343b82f9eca189927e32,90,750
scVI,scVI,60.42,88.2925,scVI_13_20_0.1_2_256..scVI..90..features_RNA.log.vst.split_Batch_ID.features.1000_c699f83acf5f343b82f9eca189927e32,90,1000
scVI,scVI,60.82,84.3575,scVI_13_20_0.1_2_256..scVI..90..features_RNA.log.vst.split_Batch_ID.features.750_c699f83acf5f343b82f9eca189927e32,90,750
scVI,scVI,61.4,92.1,scVI_18_30_0.1_2_128..scVI..90..features_RNA.log.vst.split_Batch_ID.features.1000_c699f83acf5f343b82f9eca189927e32,90,1000
scVI,scVI,62.245,88.7725,scVI_18_30_0.1_2_128..scVI..90..features_RNA.log.vst.split_Batch_ID.features.750_c699f83acf5f343b82f9eca189927e32,90,750
scVI,scVI,63.19,86.3225,scVI_19_30_0.1_2_256..scVI..90..features_RNA.log.vst.split_Batch_ID.features.1000_c699f83acf5f343b82f9eca189927e32,90,1000
scVI,scVI,65.195,86.505,scVI_19_30_0.1_2_256..scVI..90..features_RNA.log.vst.split_Batch_ID.features.750_c699f83acf5f343b82f9eca189927e32,90,750
scVI,scVI,54.34,86.0025,scVI_6_10_0.1_2_128..scVI..90..features_RNA.log.vst.split_Batch_ID.features.1000_c699f83acf5f343b82f9eca189927e32,90,1000
scVI,scVI,56.05,86.6175,scVI_6_10_0.1_2_128..scVI..90..features_RNA.log.vst.split_Batch_ID.features.750_c699f83acf5f343b82f9eca189927e32,90,750
scVI,scVI,53.54,92.1125,scVI_7_10_0.1_2_256..scVI..90..features_RNA.log.vst.split_Batch_ID.features.1000_c699f83acf5f343b82f9eca189927e32,90,1000
scVI,scVI,54.66,87.505,scVI_7_10_0.1_2_256..scVI..90..features_RNA.log.vst.split_Batch_ID.features.750_c699f83acf5f343b82f9eca189927e32,90,750
scVI,scVI,65.305,77.605,scVI_10_200_0.05_3_256_gene_zinb..scVI..50..features_RNA.log.vst.split_Batch_ID.features.1000_95b644b3dad49b61fb72690e39ca45aa,50,1000
scVI,scVI,66.165,77.955,scVI_10_200_0.05_3_256_gene_zinb..scVI..50..features_RNA.log.vst.split_Batch_ID.features.750_95b644b3dad49b61fb72690e39ca45aa,50,750
scVI,scVI,66.735,81.6575,scVI_10_200_0.05_3_256_gene_zinb..scVI..90..features_RNA.log.vst.split_Batch_ID.features.1000_a27d062197f4161ad98b5b22bf738def,90,1000
scVI,scVI,69.155,78.545,scVI_10_200_0.05_3_256_gene_zinb..scVI..90..features_RNA.log.vst.split_Batch_ID.features.750_a27d062197f4161ad98b5b22bf738def,90,750
scVI,scVI,64.665,77.085,scVI_11_200_0.05_4_256_gene_zinb..scVI..50..features_RNA.log.vst.split_Batch_ID.features.1000_95b644b3dad49b61fb72690e39ca45aa,50,1000
scVI,scVI,65.36,76.6225,scVI_11_200_0.05_4_256_gene_zinb..scVI..90..features_RNA.log.vst.split_Batch_ID.features.1000_a27d062197f4161ad98b5b22bf738def,90,1000
scVI,scVI,66.975,79.6525,scVI_11_200_0.05_4_256_gene_zinb..scVI..90..features_RNA.log.vst.split_Batch_ID.features.750_a27d062197f4161ad98b5b22bf738def,90,750
scVI,scVI,62.035,81.275,scVI_12_300_0.025_2_128_gene_zinb..scVI..50..features_RNA.log.vst.split_Batch_ID.features.1000_95b644b3dad49b61fb72690e39ca45aa,50,1000
scVI,scVI,65.25,80.3325,scVI_12_300_0.025_2_128_gene_zinb..scVI..90..features_RNA.log.vst.split_Batch_ID.features.1000_a27d062197f4161ad98b5b22bf738def,90,1000
scVI,scVI,68.82,73.9125,scVI_4_400_0.025_3_256_gene_zinb..scVI..90..features_RNA.log.vst.split_Batch_ID.features.1000_e86d95166657a332fb6d87bf3a31ad37,90,1000
scVI,scVI,69.56,77.9875,scVI_4_400_0.025_3_256_gene_zinb..scVI..90..features_RNA.log.vst.split_Batch_ID.features.750_e86d95166657a332fb6d87bf3a31ad37,90,750
scVI,scVI,66.255,74.405,scVI_5_400_0.025_4_256_gene_zinb..scVI..90..features_RNA.log.vst.split_Batch_ID.features.1000_e86d95166657a332fb6d87bf3a31ad37,90,1000
scVI,scVI,68.17,77.1,scVI_5_400_0.025_4_256_gene_zinb..scVI..90..features_RNA.log.vst.split_Batch_ID.features.750_e86d95166657a332fb6d87bf3a31ad37,90,750
scVI,scVI,63.785,81.605,scVI_9_200_0.05_2_256_gene_zinb..scVI..50..features_RNA.log.vst.split_Batch_ID.features.1000_95b644b3dad49b61fb72690e39ca45aa,50,1000
scVI,scVI,66.25,77.6475,scVI_9_200_0.05_2_256_gene_zinb..scVI..50..features_RNA.log.vst.split_Batch_ID.features.750_95b644b3dad49b61fb72690e39ca45aa,50,750
scVI,scVI,68.325,73.805,scVI_9_200_0.05_2_256_gene_zinb..scVI..90..features_RNA.log.vst.split_Batch_ID.features.1000_a27d062197f4161ad98b5b22bf738def,90,1000
scVI,scVI,70.03,75.43,scVI_9_200_0.05_2_256_gene_zinb..scVI..90..features_RNA.log.vst.split_Batch_ID.features.750_a27d062197f4161ad98b5b22bf738def,90,750
scVI,scVI,64.26,82.56,scVI_9_100_0.1_3_256..scVI..80..features_RNA.log.vst.split_Batch_ID.features.1000_8fd4ab347d1e48692d6170a5b93cf781,80,1000
scVI,scVI,65.615,80.3525,scVI_9_100_0.1_3_256..scVI..80..features_RNA.log.vst.split_Batch_ID.features.750_8fd4ab347d1e48692d6170a5b93cf781,80,750
scVI,scVI,60.27,83.1625,scVI_9_200_0.1_1_128..scVI..50..features_RNA.log.vst.split_Batch_ID.features.1000_d842bf4c63b8fee2b6d1ade43f654023,50,1000
scVI,scVI,58.74,85.6325,scVI_9_200_0.1_1_128..scVI..50..features_RNA.log.vst.split_Batch_ID.features.1500_d842bf4c63b8fee2b6d1ade43f654023,50,1500
scVI,scVI,56.18,85.315,scVI_9_200_0.1_1_128..scVI..50..features_RNA.log.vst.split_Batch_ID.features.2000_d842bf4c63b8fee2b6d1ade43f654023,50,2000
scVI,scVI,54.93,85.22,scVI_9_200_0.1_1_128..scVI..50..features_RNA.log.vst.split_Batch_ID.features.3000_d842bf4c63b8fee2b6d1ade43f654023,50,3000
scVI,scVI,66.015,77.6225,scVI_9_200_0.1_1_128..scVI..50..features_RNA.log.vst.split_Batch_ID.features.500_d842bf4c63b8fee2b6d1ade43f654023,50,500
scVI,scVI,62.305,83.97,scVI_9_200_0.1_1_128..scVI..50..features_RNA.log.vst.split_Batch_ID.features.750_d842bf4c63b8fee2b6d1ade43f654023,50,750
scVI,scVI,65.955,82.03,scVI_9_200_0.1_3_256..scVI..80..features_RNA.log.vst.split_Batch_ID.features.1000_06e72a9fd1ac3c635d8bd4013dcaa6ef,80,1000
scVI,scVI,67.51,78.9675,scVI_9_200_0.1_3_256..scVI..80..features_RNA.log.vst.split_Batch_ID.features.750_06e72a9fd1ac3c635d8bd4013dcaa6ef,80,750
scVI,scVI,65.735,85.1,scVI_9_60_0.1_2_256..scVI..90..features_RNA.log.vst.split_Batch_ID.features.1000_b0e8fd94fb38e748c5ba9bf4d05721d2,90,1000
scVI,scVI,63.44,87.025,scVI_9_60_0.1_2_256..scVI..90..features_RNA.log.vst.split_Batch_ID.features.1500_b0e8fd94fb38e748c5ba9bf4d05721d2,90,1500
scVI,scVI,61.71,85.755,scVI_9_60_0.1_2_256..scVI..90..features_RNA.log.vst.split_Batch_ID.features.2000_b0e8fd94fb38e748c5ba9bf4d05721d2,90,2000
scVI,scVI,66.56,82.195,scVI_9_60_0.1_2_256..scVI..90..features_RNA.log.vst.split_Batch_ID.features.750_b0e8fd94fb38e748c5ba9bf4d05721d2,90,750
scVI,scVI,62.19,90.5375,scVI_9_80_0.1_2_128..scVI..50..features_RNA.log.vst.split_Batch_ID.features.1000_9625657cf22d373e46bdde89031e6f00,50,1000
scVI,scVI,58.85,87.315,scVI_9_80_0.1_2_128..scVI..50..features_RNA.log.vst.split_Batch_ID.features.1500_9625657cf22d373e46bdde89031e6f00,50,1500
scVI,scVI,57.135,87.235,scVI_9_80_0.1_2_128..scVI..50..features_RNA.log.vst.split_Batch_ID.features.2000_9625657cf22d373e46bdde89031e6f00,50,2000
scVI,scVI,55.385,88.8975,scVI_9_80_0.1_2_128..scVI..50..features_RNA.log.vst.split_Batch_ID.features.3000_9625657cf22d373e46bdde89031e6f00,50,3000
scVI,scVI,66.77,83.105,scVI_9_80_0.1_2_128..scVI..50..features_RNA.log.vst.split_Batch_ID.features.500_9625657cf22d373e46bdde89031e6f00,50,500
scVI,scVI,64.675,86.875,scVI_9_80_0.1_2_128..scVI..50..features_RNA.log.vst.split_Batch_ID.features.750_9625657cf22d373e46bdde89031e6f00,50,750
RNA,seuratIntegration,93.565,27.245,seuratIntegration_1_Batch_ID..30..RNA..features_RNA.log.vst.split_Batch_ID.features.1000_2873977,30,1000
RNA,seuratIntegration,89.025,37.9125,seuratIntegration_1_Batch_ID..30..RNA..features_RNA.log.vst.split_Batch_ID.features.1500_7634294,30,1500
RNA,seuratIntegration,89,37.325,seuratIntegration_1_Batch_ID..30..RNA..features_RNA.log.vst.split_Batch_ID.features.2000_8884803,30,2000
RNA,seuratIntegration,90.21,36.5625,seuratIntegration_1_Batch_ID..30..RNA..features_RNA.log.vst.split_Batch_ID.features.3000_1261334,30,3000
RNA,seuratIntegration,93.27,29.02,seuratIntegration_1_Batch_ID..30..RNA..features_RNA.log.vst.split_Batch_ID.features.500_4706784,30,500
RNA,seuratIntegration,91.35,43.92,seuratIntegration_1_Batch_ID..30..RNA..features_RNA.log.vst.split_Batch_ID.features.750_8036148,30,750
RNA,seuratIntegration,94.995,32.155,seuratIntegration_2_Batch_ID..50..RNA..features_RNA.log.vst.split_Batch_ID.features.1000_2873977,50,1000
RNA,seuratIntegration,93.065,40.225,seuratIntegration_2_Batch_ID..50..RNA..features_RNA.log.vst.split_Batch_ID.features.1500_7634294,50,1500
RNA,seuratIntegration,93.335,44.075,seuratIntegration_2_Batch_ID..50..RNA..features_RNA.log.vst.split_Batch_ID.features.2000_8884803,50,2000
RNA,seuratIntegration,90.825,42.895,seuratIntegration_2_Batch_ID..50..RNA..features_RNA.log.vst.split_Batch_ID.features.3000_1261334,50,3000
RNA,seuratIntegration,95.335,44.74,seuratIntegration_2_Batch_ID..50..RNA..features_RNA.log.vst.split_Batch_ID.features.500_4706784,50,500
RNA,seuratIntegration,96.07,35.2775,seuratIntegration_2_Batch_ID..50..RNA..features_RNA.log.vst.split_Batch_ID.features.750_8036148,50,750
RNA,seuratIntegration,96.4,32.1875,seuratIntegration_3_Batch_ID..60..RNA..features_RNA.log.vst.split_Batch_ID.features.1000_2873977,60,1000
RNA,seuratIntegration,90.535,47.88,seuratIntegration_3_Batch_ID..60..RNA..features_RNA.log.vst.split_Batch_ID.features.1500_7634294,60,1500
RNA,seuratIntegration,89.845,51.035,seuratIntegration_3_Batch_ID..60..RNA..features_RNA.log.vst.split_Batch_ID.features.2000_8884803,60,2000
RNA,seuratIntegration,91.495,44.7225,seuratIntegration_3_Batch_ID..60..RNA..features_RNA.log.vst.split_Batch_ID.features.3000_1261334,60,3000
RNA,seuratIntegration,95.79,42.715,seuratIntegration_3_Batch_ID..60..RNA..features_RNA.log.vst.split_Batch_ID.features.500_4706784,60,500
RNA,seuratIntegration,96.91,29.015,seuratIntegration_3_Batch_ID..60..RNA..features_RNA.log.vst.split_Batch_ID.features.750_8036148,60,750
RNA,seuratIntegration,93.73,47.81,seuratIntegration_4_Batch_ID..80..RNA..features_RNA.log.vst.split_Batch_ID.features.1000_2873977,80,1000
RNA,seuratIntegration,92.37,51.5975,seuratIntegration_4_Batch_ID..80..RNA..features_RNA.log.vst.split_Batch_ID.features.1500_7634294,80,1500
RNA,seuratIntegration,95.06,42.97,seuratIntegration_4_Batch_ID..80..RNA..features_RNA.log.vst.split_Batch_ID.features.2000_8884803,80,2000
RNA,seuratIntegration,92.905,48.57,seuratIntegration_4_Batch_ID..80..RNA..features_RNA.log.vst.split_Batch_ID.features.3000_1261334,80,3000
RNA,seuratIntegration,96.91,42.1825,seuratIntegration_4_Batch_ID..80..RNA..features_RNA.log.vst.split_Batch_ID.features.500_4706784,80,500
RNA,seuratIntegration,95.635,39.705,seuratIntegration_4_Batch_ID..80..RNA..features_RNA.log.vst.split_Batch_ID.features.750_8036148,80,750
scVI,scVI,70.125,78.3625,scVI_7_200_0.1_2_256..scVI..80..features_RNA.log.vst.split_Batch_ID.features.750_fb0c4430d8280cd23d2956b80b45c5bb,80,750
scVI,scVI,63.645,85.7925,scVI_7_30_0.1_2_256..scVI..80..features_RNA.log.vst.split_Batch_ID.features.1000_6bcfab0e71be7b8b8187521a7dab74bb,80,1000
scVI,scVI,60.62,84.495,scVI_7_30_0.1_2_256..scVI..80..features_RNA.log.vst.split_Batch_ID.features.1000_7e63be155c506f1a4cd2006d80c9563f,80,1000
scVI,scVI,64.035,82.005,scVI_7_30_0.1_2_256..scVI..80..features_RNA.log.vst.split_Batch_ID.features.750_6bcfab0e71be7b8b8187521a7dab74bb,80,750
scVI,scVI,62.92,83.94,scVI_7_30_0.1_2_256..scVI..80..features_RNA.log.vst.split_Batch_ID.features.750_7e63be155c506f1a4cd2006d80c9563f,80,750
scVI,scVI,61.83,91.2025,scVI_7_40_0.1_2_128..scVI..80..features_RNA.log.vst.split_Batch_ID.features.1000_9625657cf22d373e46bdde89031e6f00,80,1000
scVI,scVI,59.27,88.5725,scVI_7_40_0.1_2_128..scVI..80..features_RNA.log.vst.split_Batch_ID.features.1500_9625657cf22d373e46bdde89031e6f00,80,1500
scVI,scVI,56.225,88.5625,scVI_7_40_0.1_2_128..scVI..80..features_RNA.log.vst.split_Batch_ID.features.2000_9625657cf22d373e46bdde89031e6f00,80,2000
scVI,scVI,54.79,86.1325,scVI_7_40_0.1_2_128..scVI..80..features_RNA.log.vst.split_Batch_ID.features.3000_9625657cf22d373e46bdde89031e6f00,80,3000
scVI,scVI,66.71,86.175,scVI_7_40_0.1_2_128..scVI..80..features_RNA.log.vst.split_Batch_ID.features.500_9625657cf22d373e46bdde89031e6f00,80,500
scVI,scVI,64.835,88.72,scVI_7_40_0.1_2_128..scVI..80..features_RNA.log.vst.split_Batch_ID.features.750_9625657cf22d373e46bdde89031e6f00,80,750
scVI,scVI,60.115,86.775,scVI_7_80_0.1_1_128..scVI..60..features_RNA.log.vst.split_Batch_ID.features.1000_d842bf4c63b8fee2b6d1ade43f654023,60,1000
scVI,scVI,58.13,88.235,scVI_7_80_0.1_1_128..scVI..60..features_RNA.log.vst.split_Batch_ID.features.1500_d842bf4c63b8fee2b6d1ade43f654023,60,1500
scVI,scVI,57.155,90.58,scVI_7_80_0.1_1_128..scVI..60..features_RNA.log.vst.split_Batch_ID.features.2000_d842bf4c63b8fee2b6d1ade43f654023,60,2000
scVI,scVI,52.785,90.2525,scVI_7_80_0.1_1_128..scVI..60..features_RNA.log.vst.split_Batch_ID.features.3000_d842bf4c63b8fee2b6d1ade43f654023,60,3000
scVI,scVI,65.635,81.205,scVI_7_80_0.1_1_128..scVI..60..features_RNA.log.vst.split_Batch_ID.features.500_d842bf4c63b8fee2b6d1ade43f654023,60,500
scVI,scVI,62.695,84.48,scVI_7_80_0.1_1_128..scVI..60..features_RNA.log.vst.split_Batch_ID.features.750_d842bf4c63b8fee2b6d1ade43f654023,60,750
scVI,scVI,67.37,80.6325,scVI_8_100_0.1_2_256..scVI..80..features_RNA.log.vst.split_Batch_ID.features.1000_8fd4ab347d1e48692d6170a5b93cf781,80,1000
scVI,scVI,68.54,77.715,scVI_8_100_0.1_2_256..scVI..80..features_RNA.log.vst.split_Batch_ID.features.750_8fd4ab347d1e48692d6170a5b93cf781,80,750
scVI,scVI,69.005,78.4525,scVI_8_200_0.1_2_256..scVI..80..features_RNA.log.vst.split_Batch_ID.features.1000_06e72a9fd1ac3c635d8bd4013dcaa6ef,80,1000
scVI,scVI,68.975,78.3825,scVI_8_200_0.1_2_256..scVI..80..features_RNA.log.vst.split_Batch_ID.features.750_06e72a9fd1ac3c635d8bd4013dcaa6ef,80,750
scVI,scVI,62.2,88.5075,scVI_8_30_0.1_2_256..scVI..90..features_RNA.log.vst.split_Batch_ID.features.1000_6bcfab0e71be7b8b8187521a7dab74bb,90,1000
scVI,scVI,62.69,84.0675,scVI_8_30_0.1_2_256..scVI..90..features_RNA.log.vst.split_Batch_ID.features.1000_7e63be155c506f1a4cd2006d80c9563f,90,1000
scVI,scVI,64.375,83.7625,scVI_8_30_0.1_2_256..scVI..90..features_RNA.log.vst.split_Batch_ID.features.750_6bcfab0e71be7b8b8187521a7dab74bb,90,750
scVI,scVI,62.87,81.915,scVI_8_30_0.1_2_256..scVI..90..features_RNA.log.vst.split_Batch_ID.features.750_7e63be155c506f1a4cd2006d80c9563f,90,750
scVI,scVI,64.385,86.9275,scVI_8_60_0.1_2_128..scVI..90..features_RNA.log.vst.split_Batch_ID.features.1000_b0e8fd94fb38e748c5ba9bf4d05721d2,90,1000
scVI,scVI,60.74,91.2825,scVI_8_60_0.1_2_128..scVI..90..features_RNA.log.vst.split_Batch_ID.features.1500_b0e8fd94fb38e748c5ba9bf4d05721d2,90,1500
scVI,scVI,58.325,86.845,scVI_8_60_0.1_2_128..scVI..90..features_RNA.log.vst.split_Batch_ID.features.2000_b0e8fd94fb38e748c5ba9bf4d05721d2,90,2000
scVI,scVI,64.355,87.5775,scVI_8_60_0.1_2_128..scVI..90..features_RNA.log.vst.split_Batch_ID.features.750_b0e8fd94fb38e748c5ba9bf4d05721d2,90,750
scVI,scVI,61.495,82.825,scVI_8_80_0.1_1_128..scVI..80..features_RNA.log.vst.split_Batch_ID.features.1000_d842bf4c63b8fee2b6d1ade43f654023,80,1000
scVI,scVI,60.59,87.795,scVI_8_80_0.1_1_128..scVI..80..features_RNA.log.vst.split_Batch_ID.features.1500_d842bf4c63b8fee2b6d1ade43f654023,80,1500
scVI,scVI,57.855,87.925,scVI_8_80_0.1_1_128..scVI..80..features_RNA.log.vst.split_Batch_ID.features.2000_d842bf4c63b8fee2b6d1ade43f654023,80,2000
scVI,scVI,55.635,88.4325,scVI_8_80_0.1_1_128..scVI..80..features_RNA.log.vst.split_Batch_ID.features.3000_d842bf4c63b8fee2b6d1ade43f654023,80,3000
scVI,scVI,65.425,74.17,scVI_8_80_0.1_1_128..scVI..80..features_RNA.log.vst.split_Batch_ID.features.500_d842bf4c63b8fee2b6d1ade43f654023,80,500
scVI,scVI,63.925,81.125,scVI_8_80_0.1_1_128..scVI..80..features_RNA.log.vst.split_Batch_ID.features.750_d842bf4c63b8fee2b6d1ade43f654023,80,750
scVI,scVI,58.865,87.6375,scVI_8_80_0.1_2_128..scVI..30..features_RNA.log.vst.split_Batch_ID.features.1000_9625657cf22d373e46bdde89031e6f00,30,1000
scVI,scVI,57.055,87.405,scVI_8_80_0.1_2_128..scVI..30..features_RNA.log.vst.split_Batch_ID.features.1500_9625657cf22d373e46bdde89031e6f00,30,1500
scVI,scVI,55.68,86.4375,scVI_8_80_0.1_2_128..scVI..30..features_RNA.log.vst.split_Batch_ID.features.2000_9625657cf22d373e46bdde89031e6f00,30,2000
scVI,scVI,53.62,87.1775,scVI_8_80_0.1_2_128..scVI..30..features_RNA.log.vst.split_Batch_ID.features.3000_9625657cf22d373e46bdde89031e6f00,30,3000
scVI,scVI,63.86,80.145,scVI_8_80_0.1_2_128..scVI..30..features_RNA.log.vst.split_Batch_ID.features.500_9625657cf22d373e46bdde89031e6f00,30,500
scVI,scVI,61.555,88.5125,scVI_8_80_0.1_2_128..scVI..30..features_RNA.log.vst.split_Batch_ID.features.750_9625657cf22d373e46bdde89031e6f00,30,750
scVI,scVI,59.785,83.8725,scVI_4_40_0.1_1_128..scVI..60..features_RNA.log.vst.split_Batch_ID.features.1000_d842bf4c63b8fee2b6d1ade43f654023,60,1000
scVI,scVI,57.325,89.7525,scVI_4_40_0.1_1_128..scVI..60..features_RNA.log.vst.split_Batch_ID.features.1500_d842bf4c63b8fee2b6d1ade43f654023,60,1500
scVI,scVI,53.885,89.1,scVI_4_40_0.1_1_128..scVI..60..features_RNA.log.vst.split_Batch_ID.features.2000_d842bf4c63b8fee2b6d1ade43f654023,60,2000
scVI,scVI,50.27,89.955,scVI_4_40_0.1_1_128..scVI..60..features_RNA.log.vst.split_Batch_ID.features.3000_d842bf4c63b8fee2b6d1ade43f654023,60,3000
scVI,scVI,63.97,82.185,scVI_4_40_0.1_1_128..scVI..60..features_RNA.log.vst.split_Batch_ID.features.500_d842bf4c63b8fee2b6d1ade43f654023,60,500
scVI,scVI,61.345,85.86,scVI_4_40_0.1_1_128..scVI..60..features_RNA.log.vst.split_Batch_ID.features.750_d842bf4c63b8fee2b6d1ade43f654023,60,750
scVI,scVI,57.95,86.94,scVI_4_40_0.1_2_128..scVI..30..features_RNA.log.vst.split_Batch_ID.features.1000_9625657cf22d373e46bdde89031e6f00,30,1000
scVI,scVI,55.55,87.9475,scVI_4_40_0.1_2_128..scVI..30..features_RNA.log.vst.split_Batch_ID.features.1500_9625657cf22d373e46bdde89031e6f00,30,1500
scVI,scVI,53.805,87.0225,scVI_4_40_0.1_2_128..scVI..30..features_RNA.log.vst.split_Batch_ID.features.2000_9625657cf22d373e46bdde89031e6f00,30,2000
scVI,scVI,51.28,87.42,scVI_4_40_0.1_2_128..scVI..30..features_RNA.log.vst.split_Batch_ID.features.3000_9625657cf22d373e46bdde89031e6f00,30,3000
scVI,scVI,62.27,86.62,scVI_4_40_0.1_2_128..scVI..30..features_RNA.log.vst.split_Batch_ID.features.500_9625657cf22d373e46bdde89031e6f00,30,500
scVI,scVI,59.22,86.17,scVI_4_40_0.1_2_128..scVI..30..features_RNA.log.vst.split_Batch_ID.features.750_9625657cf22d373e46bdde89031e6f00,30,750
scVI,scVI,62.375,86.465,scVI_4_80_0.1_2_256..scVI..50..features_RNA.log.vst.split_Batch_ID.features.1000_fb0c4430d8280cd23d2956b80b45c5bb,50,1000
scVI,scVI,61.505,86.0475,scVI_4_80_0.1_2_256..scVI..50..features_RNA.log.vst.split_Batch_ID.features.1500_fb0c4430d8280cd23d2956b80b45c5bb,50,1500
scVI,scVI,58.665,87.53,scVI_4_80_0.1_2_256..scVI..50..features_RNA.log.vst.split_Batch_ID.features.2000_fb0c4430d8280cd23d2956b80b45c5bb,50,2000
scVI,scVI,56.925,86.1475,scVI_4_80_0.1_2_256..scVI..50..features_RNA.log.vst.split_Batch_ID.features.3000_fb0c4430d8280cd23d2956b80b45c5bb,50,3000
scVI,scVI,65.59,79.8375,scVI_4_80_0.1_2_256..scVI..50..features_RNA.log.vst.split_Batch_ID.features.500_fb0c4430d8280cd23d2956b80b45c5bb,50,500
scVI,scVI,64.98,83.0175,scVI_4_80_0.1_2_256..scVI..50..features_RNA.log.vst.split_Batch_ID.features.750_fb0c4430d8280cd23d2956b80b45c5bb,50,750
scVI,scVI,60.795,89.52,scVI_5_20_0.1_2_256..scVI..90..features_RNA.log.vst.split_Batch_ID.features.1000_6bcfab0e71be7b8b8187521a7dab74bb,90,1000
scVI,scVI,59.89,88.7775,scVI_5_20_0.1_2_256..scVI..90..features_RNA.log.vst.split_Batch_ID.features.1000_7e63be155c506f1a4cd2006d80c9563f,90,1000
scVI,scVI,61.985,86.2025,scVI_5_20_0.1_2_256..scVI..90..features_RNA.log.vst.split_Batch_ID.features.750_6bcfab0e71be7b8b8187521a7dab74bb,90,750
scVI,scVI,61.365,86.0375,scVI_5_20_0.1_2_256..scVI..90..features_RNA.log.vst.split_Batch_ID.features.750_7e63be155c506f1a4cd2006d80c9563f,90,750
scVI,scVI,59,81.91,scVI_5_40_0.1_1_128..scVI..80..features_RNA.log.vst.split_Batch_ID.features.1000_d842bf4c63b8fee2b6d1ade43f654023,80,1000
scVI,scVI,57.905,85.21,scVI_5_40_0.1_1_128..scVI..80..features_RNA.log.vst.split_Batch_ID.features.1500_d842bf4c63b8fee2b6d1ade43f654023,80,1500
scVI,scVI,55.845,88.89,scVI_5_40_0.1_1_128..scVI..80..features_RNA.log.vst.split_Batch_ID.features.2000_d842bf4c63b8fee2b6d1ade43f654023,80,2000
scVI,scVI,51.975,87.3425,scVI_5_40_0.1_1_128..scVI..80..features_RNA.log.vst.split_Batch_ID.features.3000_d842bf4c63b8fee2b6d1ade43f654023,80,3000
scVI,scVI,64.47,76.845,scVI_5_40_0.1_1_128..scVI..80..features_RNA.log.vst.split_Batch_ID.features.500_d842bf4c63b8fee2b6d1ade43f654023,80,500
scVI,scVI,62.27,83.8875,scVI_5_40_0.1_1_128..scVI..80..features_RNA.log.vst.split_Batch_ID.features.750_d842bf4c63b8fee2b6d1ade43f654023,80,750
scVI,scVI,60.535,91.1725,scVI_5_40_0.1_2_128..scVI..50..features_RNA.log.vst.split_Batch_ID.features.1000_9625657cf22d373e46bdde89031e6f00,50,1000
scVI,scVI,56.835,88.8025,scVI_5_40_0.1_2_128..scVI..50..features_RNA.log.vst.split_Batch_ID.features.1500_9625657cf22d373e46bdde89031e6f00,50,1500
scVI,scVI,55.49,90.1775,scVI_5_40_0.1_2_128..scVI..50..features_RNA.log.vst.split_Batch_ID.features.2000_9625657cf22d373e46bdde89031e6f00,50,2000
scVI,scVI,52.85,87.6,scVI_5_40_0.1_2_128..scVI..50..features_RNA.log.vst.split_Batch_ID.features.3000_9625657cf22d373e46bdde89031e6f00,50,3000
scVI,scVI,65.655,83.4975,scVI_5_40_0.1_2_128..scVI..50..features_RNA.log.vst.split_Batch_ID.features.500_9625657cf22d373e46bdde89031e6f00,50,500
scVI,scVI,62.62,85.13,scVI_5_40_0.1_2_128..scVI..50..features_RNA.log.vst.split_Batch_ID.features.750_9625657cf22d373e46bdde89031e6f00,50,750
scVI,scVI,61.915,79.2625,scVI_0_150_0.01_2_128_gene_zinb..scVI..60..features_RNA.log.vst.split_Batch_ID.features.1000_3b9e3ed8dac54bd9d04e434d74ffbb99,60,1000
scVI,scVI,61.795,83.19,scVI_0_150_0.01_2_128_gene_zinb..scVI..60..features_RNA.log.vst.split_Batch_ID.features.750_3b9e3ed8dac54bd9d04e434d74ffbb99,60,750
